latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
11.76659,30.60536,300.3,2.36,1.48,2025-11-23,0132,A,24,6.1NRT,289.27,15.39,N
11.76303,30.62616,304.01,2.37,1.49,2025-11-23,0132,A,58,6.1NRT,289.09,22.94,N
11.31085,32.26264,307.08,3.26,1.71,2025-11-23,0132,A,70,6.1NRT,290.48,47.2,N
11.31068,32.25781,308.86,3.26,1.71,2025-11-23,0132,A,76,6.1NRT,290.43,53.72,N
11.79765,29.11437,305.09,1.8,1.31,2025-11-23,0132,A,63,6.1NRT,292.51,15.33,N
11.7626,26.4532,311.64,1.19,1.08,2025-11-23,0132,A,83,6.1NRT,292.1,14.72,N
11.75147,26.11847,309.5,1.14,1.06,2025-11-23,0132,A,78,6.1NRT,289.84,12.26,N
11.7329,26.11548,322.87,1.14,1.06,2025-11-23,0132,A,100,6.1NRT,291.9,25.72,N
12.09429,20.27113,302.78,1.39,1.17,2025-11-23,0132,A,51,6.1NRT,289.55,9.66,N
9.78975,28.67141,314.76,1.81,1.32,2025-11-23,0132,A,90,6.1NRT,291.76,29.54,N
9.79315,28.66495,309.69,1.81,1.32,2025-11-23,0132,A,78,6.1NRT,291.65,22.14,N
9.79058,28.6808,307.22,1.81,1.32,2025-11-23,0132,A,71,6.1NRT,291.75,18.24,N
9.72001,28.54008,306.82,1.77,1.3,2025-11-23,0132,A,69,6.1NRT,292,16.63,N
9.71738,28.5556,308.7,1.78,1.31,2025-11-23,0132,A,75,6.1NRT,291.53,19.71,N
9.71878,28.55052,313.1,1.78,1.31,2025-11-23,0132,A,86,6.1NRT,291.75,27.29,N
9.7074,28.54861,310.2,1.78,1.31,2025-11-23,0132,A,79,6.1NRT,292.18,22.33,N
9.7944,26.2071,304.75,1.22,1.1,2025-11-23,0134,A,58,6.1NRT,292.56,7.59,N
9.77354,26.21474,333.7,1.22,1.1,2025-11-23,0134,A,100,6.1NRT,295.79,43.43,N
9.75265,26.22243,306.02,1.22,1.1,2025-11-23,0134,A,24,6.1NRT,292.46,8.2,N
9.6881,26.22857,313.84,1.23,1.1,2025-11-23,0134,A,88,6.1NRT,292.45,16.53,N
9.67849,26.22702,342.8,1.23,1.1,2025-11-23,0134,A,100,6.1NRT,294.66,65.2,N
9.67678,26.2378,309.36,1.23,1.1,2025-11-23,0134,A,77,6.1NRT,292.31,12.17,N
9.66889,26.22548,312.19,1.23,1.1,2025-11-23,0134,A,45,6.1NRT,292.42,13.33,N
9.65756,26.23475,311.74,1.23,1.1,2025-11-23,0134,A,31,6.1NRT,293.5,12.9,N
9.64795,26.23321,323.99,1.23,1.1,2025-11-23,0134,A,100,6.1NRT,294.64,29.03,N
9.64621,26.24402,309.92,1.23,1.1,2025-11-23,0134,A,79,6.1NRT,292.57,12.22,N
9.6152,26.23243,336.69,1.23,1.1,2025-11-23,0134,A,100,6.1NRT,294.86,51.49,N
9.6135,26.24325,304.95,1.23,1.1,2025-11-23,0134,A,55,6.1NRT,292.4,7.9,N
9.60558,26.2309,305.19,1.23,1.1,2025-11-23,0134,A,63,6.1NRT,291.88,8.27,N
9.56023,25.68314,301.78,1.15,1.07,2025-11-23,0134,A,44,6.1NRT,290.9,6.12,N
9.14659,25.83442,326.82,1.18,1.08,2025-11-23,0134,A,100,6.1NRT,293.1,32.2,N
9.14492,25.84482,350.54,1.19,1.08,2025-11-23,0134,A,100,6.1NRT,296.31,81.41,N
9.14325,25.85526,320.83,1.19,1.08,2025-11-23,0134,A,100,6.1NRT,292.55,23.77,N
9.14123,25.83754,327.5,1.19,1.08,2025-11-23,0134,A,100,6.1NRT,293.96,32.88,N
9.13962,25.84799,328.2,1.19,1.08,2025-11-23,0134,A,100,6.1NRT,294.76,34.51,N
9.138,25.85845,305.5,1.19,1.08,2025-11-23,0134,A,65,6.1NRT,291.58,8.64,N
9.12203,25.89882,323.58,1.2,1.09,2025-11-23,0134,A,100,6.1NRT,292.67,27.26,N
9.1204,25.90932,305.54,1.2,1.09,2025-11-23,0134,A,48,6.1NRT,291.56,7.99,N
9.09976,25.91685,309.46,1.2,1.09,2025-11-23,0134,A,77,6.1NRT,291.46,11.84,N
9.14194,25.58563,308.62,1.15,1.07,2025-11-23,0134,A,75,6.1NRT,292.55,10.5,N
8.85758,26.34426,304.55,1.28,1.12,2025-11-23,0134,A,61,6.1NRT,292.8,8.88,N
8.85405,26.36677,315.1,1.28,1.12,2025-11-23,0134,A,91,6.1NRT,291.95,19.45,N
8.7988,26.12553,310.68,1.24,1.11,2025-11-23,0134,A,81,6.1NRT,292.54,13.65,N
8.78913,26.12399,319.12,1.24,1.11,2025-11-23,0134,A,98,6.1NRT,292.3,23.33,N
8.78742,26.13486,304.22,1.24,1.11,2025-11-23,0134,A,59,6.1NRT,292.37,7.86,N
8.5829,26.25964,327.66,1.28,1.12,2025-11-23,0134,A,100,6.1NRT,294.71,35.2,N
8.58114,26.27082,331.94,1.28,1.12,2025-11-23,0134,A,100,6.1NRT,295.2,43.52,N
8.57938,26.28202,308.75,1.28,1.12,2025-11-23,0134,A,69,6.1NRT,292.66,11.52,N
8.57763,26.29318,303.49,1.28,1.12,2025-11-23,0134,A,49,6.1NRT,292.29,7.46,N
8.57664,26.23578,302.71,1.27,1.12,2025-11-23,0134,A,33,6.1NRT,292.46,6.37,N
8.57488,26.24692,342.69,1.27,1.12,2025-11-23,0134,A,100,6.1NRT,294.25,67.69,N
8.57312,26.25805,314.91,1.28,1.12,2025-11-23,0134,A,67,6.1NRT,293.28,16.57,N
8.57136,26.26922,336.13,1.28,1.12,2025-11-23,0134,A,100,6.1NRT,294.12,51.54,N
8.38021,26.43597,311.71,1.32,1.14,2025-11-23,0134,A,83,6.1NRT,291.81,15.83,N
8.37029,26.43438,324.24,1.32,1.14,2025-11-23,0134,A,100,6.1NRT,292.27,33.19,N
8.36846,26.44596,306.59,1.32,1.14,2025-11-23,0134,A,69,6.1NRT,291.2,10.94,N
8.36036,26.43277,316.81,1.32,1.14,2025-11-23,0134,A,94,6.1NRT,292.38,21.5,N
8.35043,26.43122,317.08,1.32,1.14,2025-11-23,0134,A,86,6.1NRT,291.82,21.59,N
8.34233,26.41813,305.14,1.31,1.14,2025-11-23,0134,A,63,6.1NRT,291.07,9.77,N
7.59698,26.96554,313.74,1.47,1.2,2025-11-23,0134,A,88,6.1NRT,290.11,23.22,N
-12.06944,26.40286,300.61,2.83,1.61,2025-11-23,0138,A,31,6.1NRT,280.52,27.52,N
45.20425,123.75547,302.81,2.94,1.63,2025-11-23,0210,T,33,6.1NRT,275.3,36.25,D
35.07006,33.43238,312.75,1.28,1.12,2025-11-23,0126,A,86,6.1NRT,283.72,20.67,N
19.40355,-155.28909,347.22,1.57,1.24,2025-11-23,0052,A,82,6.1NRT,277.52,110.95,D
45.19562,123.78997,308.85,2.96,1.64,2025-11-23,0210,T,63,6.1NRT,274.07,54.67,D
35.06859,33.42646,313.65,1.28,1.12,2025-11-23,0126,A,88,6.1NRT,283.36,22.28,N
40.1348,114.07848,318.39,1.19,1.09,2025-11-23,0213,T,78,6.1NRT,279.59,23.63,D
35.06615,33.44006,302.79,1.28,1.12,2025-11-23,0126,A,51,6.1NRT,283.29,11.87,N
40.12542,114.07583,308.1,1.19,1.09,2025-11-23,0213,T,67,6.1NRT,279.3,12.64,D
29.69214,32.32465,303.51,1.38,1.16,2025-11-23,0126,A,55,6.1NRT,287.87,12.31,N
40.62137,109.75309,302.07,1.02,1.01,2025-11-23,0213,T,51,6.1NRT,276.86,7.69,D
28.83951,22.13445,305.08,1.79,1.31,2025-11-23,0128,A,63,6.1NRT,280.26,23.76,N
39.93806,113.82214,311.08,1.17,1.08,2025-11-23,0213,T,71,6.1NRT,278.23,16.47,D
28.92058,19.76619,311.21,2.65,1.56,2025-11-23,0128,A,82,6.1NRT,284.01,57.39,N
39.86606,113.52464,302.21,1.14,1.06,2025-11-23,0213,T,51,6.1NRT,278.75,9.24,D
28.91826,19.7923,317.73,2.64,1.56,2025-11-23,0128,A,96,6.1NRT,283.7,78.92,N
39.37793,113.96386,307.65,1.21,1.09,2025-11-23,0213,T,66,6.1NRT,279.3,14.01,D
39.34561,113.67028,304.19,1.18,1.08,2025-11-23,0213,T,50,6.1NRT,278.79,9.52,D
39.25259,113.61155,302.22,1.17,1.08,2025-11-23,0213,T,40,6.1NRT,277.66,8.04,D
39.26963,112.6256,300.23,1.08,1.04,2025-11-23,0213,T,32,6.1NRT,278.5,6.67,D
38.25637,113.06198,301.87,1.15,1.07,2025-11-23,0213,T,19,6.1NRT,280.63,7.4,D
38.13342,113.0297,303.19,1.15,1.07,2025-11-23,0215,T,49,6.1NRT,280.46,8.14,D
38.13127,113.04264,302.29,1.15,1.07,2025-11-23,0215,T,36,6.1NRT,280.61,7.28,D
38.12413,113.02753,305.49,1.15,1.07,2025-11-23,0215,T,56,6.1NRT,280.57,9.65,D
38.09218,113.04522,303.88,1.16,1.07,2025-11-23,0215,T,57,6.1NRT,279.18,9.72,D
38.24444,111.70658,302.7,1.04,1.02,2025-11-23,0215,T,53,6.1NRT,275.72,8.98,D
37.4122,113.68713,318.68,1.26,1.12,2025-11-23,0215,T,79,6.1NRT,279.97,27.09,D
38.25336,106.55621,300.03,1.24,1.1,2025-11-23,0215,T,22,6.1NRT,280.32,8.32,D
32.21579,111.95406,313.17,1.25,1.11,2025-11-23,0215,T,73,6.1NRT,288.27,16.46,D
32.21273,111.91348,309.56,1.25,1.11,2025-11-23,0215,T,69,6.1NRT,288.54,12.78,D
32.18987,111.98792,302.06,1.26,1.12,2025-11-23,0215,T,32,6.1NRT,287.83,5.88,D
